Line ID,Line Name,Line Description,Control,Strain(s),Line Experimenter,Line Contact,Media,Assay ID,Assay Name,Type,Formal Type ID,Measurement Updated,X Units,Y Units,27.0
4390,C1-S4-B1.1-R1,None,F,JBEI-17790,,,2% Glucose,5564,C1-S4-B1.1-R1,AHR_ECOLI,,2018-05-09 00:19:18.395466+00:00,hours,,431.0
4390,C1-S4-B1.1-R1,None,F,JBEI-17790,,,2% Glucose,5564,C1-S4-B1.1-R1,LCFA_ECOLI,,2018-05-09 00:19:18.415980+00:00,hours,,79192.0
4390,C1-S4-B1.1-R1,None,F,JBEI-17790,,,2% Glucose,5564,C1-S4-B1.1-R1,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:18.436380+00:00,hours,,114226.0
4390,C1-S4-B1.1-R1,None,F,JBEI-17790,,,2% Glucose,5564,C1-S4-B1.1-R1,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:18.457246+00:00,hours,,0.0
4390,C1-S4-B1.1-R1,None,F,JBEI-17790,,,2% Glucose,5564,C1-S4-B1.1-R1,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:18.476823+00:00,hours,,1862.0
4390,C1-S4-B1.1-R1,None,F,JBEI-17790,,,2% Glucose,5564,C1-S4-B1.1-R1,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:18.497454+00:00,hours,,565758.0
4391,C1-S4-B1.1-R2,None,F,JBEI-17790,,,2% Glucose,5565,C1-S4-B1.1-R2,AHR_ECOLI,,2018-05-09 00:19:18.520340+00:00,hours,,286.0
4391,C1-S4-B1.1-R2,None,F,JBEI-17790,,,2% Glucose,5565,C1-S4-B1.1-R2,LCFA_ECOLI,,2018-05-09 00:19:18.540040+00:00,hours,,84364.0
4391,C1-S4-B1.1-R2,None,F,JBEI-17790,,,2% Glucose,5565,C1-S4-B1.1-R2,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:18.559990+00:00,hours,,117131.0
4391,C1-S4-B1.1-R2,None,F,JBEI-17790,,,2% Glucose,5565,C1-S4-B1.1-R2,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:18.579756+00:00,hours,,1352.0
4391,C1-S4-B1.1-R2,None,F,JBEI-17790,,,2% Glucose,5565,C1-S4-B1.1-R2,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:18.599704+00:00,hours,,0.0
4391,C1-S4-B1.1-R2,None,F,JBEI-17790,,,2% Glucose,5565,C1-S4-B1.1-R2,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:18.620508+00:00,hours,,579082.0
4392,C1-S8-B1.1-R1,None,F,JBEI-17791,,,2% Glucose,5575,C1-S8-B1.1-R1,AHR_ECOLI,,2018-05-09 00:19:19.745041+00:00,hours,,0.0
4392,C1-S8-B1.1-R1,None,F,JBEI-17791,,,2% Glucose,5575,C1-S8-B1.1-R1,LCFA_ECOLI,,2018-05-09 00:19:19.765418+00:00,hours,,165598.0
4392,C1-S8-B1.1-R1,None,F,JBEI-17791,,,2% Glucose,5575,C1-S8-B1.1-R1,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:19.787108+00:00,hours,,113884.0
4392,C1-S8-B1.1-R1,None,F,JBEI-17791,,,2% Glucose,5575,C1-S8-B1.1-R1,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:19.807485+00:00,hours,,0.0
4392,C1-S8-B1.1-R1,None,F,JBEI-17791,,,2% Glucose,5575,C1-S8-B1.1-R1,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:19.827983+00:00,hours,,0.0
4392,C1-S8-B1.1-R1,None,F,JBEI-17791,,,2% Glucose,5575,C1-S8-B1.1-R1,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:19.847813+00:00,hours,,202718.0
4393,C1-S8-B1.1-R2,None,F,JBEI-17791,,,2% Glucose,5576,C1-S8-B1.1-R2,AHR_ECOLI,,2018-05-09 00:19:19.867835+00:00,hours,,0.0
4393,C1-S8-B1.1-R2,None,F,JBEI-17791,,,2% Glucose,5576,C1-S8-B1.1-R2,LCFA_ECOLI,,2018-05-09 00:19:19.888332+00:00,hours,,169995.0
4393,C1-S8-B1.1-R2,None,F,JBEI-17791,,,2% Glucose,5576,C1-S8-B1.1-R2,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:19.908549+00:00,hours,,107398.0
4393,C1-S8-B1.1-R2,None,F,JBEI-17791,,,2% Glucose,5576,C1-S8-B1.1-R2,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:19.928962+00:00,hours,,0.0
4393,C1-S8-B1.1-R2,None,F,JBEI-17791,,,2% Glucose,5576,C1-S8-B1.1-R2,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:19.948452+00:00,hours,,0.0
4393,C1-S8-B1.1-R2,None,F,JBEI-17791,,,2% Glucose,5576,C1-S8-B1.1-R2,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:19.967885+00:00,hours,,204510.0
4394,C1-S9-B1.1-R1,None,F,JBEI-17792,,,2% Glucose,5580,C1-S9-B1.1-R1,AHR_ECOLI,,2018-05-09 00:19:20.350476+00:00,hours,,0.0
